Time,Wallber Virgolino: (State of Paraíba),Ricardo Coutinho: (State of Paraíba),Raoni: (State of Paraíba),Ruy Carneiro: (State of Paraíba),Nilvan Ferreira: (State of Paraíba)
2020-11-14T17:48:00-03:00,0,5,10,7,0
2020-11-14T17:56:00-03:00,2,12,12,2,0
2020-11-14T18:04:00-03:00,2,13,0,0,2
2020-11-14T18:12:00-03:00,5,14,2,12,5
2020-11-14T18:20:00-03:00,0,5,4,13,7
2020-11-14T18:28:00-03:00,2,9,2,0,4
2020-11-14T18:36:00-03:00,0,14,7,7,0
2020-11-14T18:44:00-03:00,2,12,2,12,0
2020-11-14T18:52:00-03:00,0,5,11,9,2
2020-11-14T19:00:00-03:00,0,7,5,9,2
2020-11-14T19:08:00-03:00,2,9,7,5,5
2020-11-14T19:16:00-03:00,0,16,4,0,2
2020-11-14T19:24:00-03:00,2,20,2,15,15
2020-11-14T19:32:00-03:00,2,11,11,26,7
2020-11-14T19:40:00-03:00,7,18,7,16,2
2020-11-14T19:48:00-03:00,0,14,9,37,13
2020-11-14T19:56:00-03:00,2,12,5,21,0
2020-11-14T20:04:00-03:00,0,2,2,20,2
2020-11-14T20:12:00-03:00,0,15,2,9,7
2020-11-14T20:20:00-03:00,2,16,4,11,9
2020-11-14T20:28:00-03:00,0,20,9,28,7
2020-11-14T20:36:00-03:00,0,20,2,8,2
2020-11-14T20:44:00-03:00,6,6,2,20,8
2020-11-14T20:52:00-03:00,2,22,8,16,10
2020-11-14T21:00:00-03:00,0,15,6,9,6
2020-11-14T21:08:00-03:00,0,11,4,11,2
2020-11-14T21:16:00-03:00,0,11,9,17,7
2020-11-14T21:24:00-03:00,0,13,4,17,13
2020-11-14T21:32:00-03:00,4,8,4,10,4
2020-11-14T21:40:00-03:00,0,9,9,13,2
2020-11-14T21:48:00-03:00,0,5,2,16,11
2020-11-14T21:56:00-03:00,0,11,7,11,5
2020-11-14T22:04:00-03:00,0,22,3,15,12
2020-11-14T22:12:00-03:00,2,13,9,11,4
2020-11-14T22:20:00-03:00,0,9,2,13,0
