Time,Rafael Freire: (State of Paraíba),Rama Dantas: (State of Paraíba),Edilma Freire: (State of Paraíba),Ruy Carneiro: (State of Paraíba),Cicero Lucena: (State of Paraíba)
2020-11-14T17:48:00-03:00,0,0,0,7,8
2020-11-14T17:56:00-03:00,0,0,5,2,3
2020-11-14T18:04:00-03:00,0,0,2,0,15
2020-11-14T18:12:00-03:00,0,0,0,12,7
2020-11-14T18:20:00-03:00,0,2,2,13,9
2020-11-14T18:28:00-03:00,0,2,9,0,0
2020-11-14T18:36:00-03:00,0,0,0,7,7
2020-11-14T18:44:00-03:00,0,2,10,12,3
2020-11-14T18:52:00-03:00,0,0,7,9,2
2020-11-14T19:00:00-03:00,2,0,7,9,5
2020-11-14T19:08:00-03:00,0,0,2,5,2
2020-11-14T19:16:00-03:00,0,2,4,0,5
2020-11-14T19:24:00-03:00,0,0,6,15,7
2020-11-14T19:32:00-03:00,0,7,7,26,14
2020-11-14T19:40:00-03:00,0,0,7,16,21
2020-11-14T19:48:00-03:00,0,2,4,37,9
2020-11-14T19:56:00-03:00,0,0,2,21,17
2020-11-14T20:04:00-03:00,2,0,9,20,17
2020-11-14T20:12:00-03:00,0,0,9,9,12
2020-11-14T20:20:00-03:00,0,0,9,11,7
2020-11-14T20:28:00-03:00,0,0,2,28,9
2020-11-14T20:36:00-03:00,0,0,6,8,11
2020-11-14T20:44:00-03:00,0,4,2,20,13
2020-11-14T20:52:00-03:00,0,0,4,16,20
2020-11-14T21:00:00-03:00,0,0,4,9,15
2020-11-14T21:08:00-03:00,0,4,7,11,19
2020-11-14T21:16:00-03:00,0,2,7,17,11
2020-11-14T21:24:00-03:00,0,0,6,17,13
2020-11-14T21:32:00-03:00,0,0,6,10,8
2020-11-14T21:40:00-03:00,4,0,0,13,17
2020-11-14T21:48:00-03:00,0,0,7,16,14
2020-11-14T21:56:00-03:00,0,0,0,11,0
2020-11-14T22:04:00-03:00,0,0,3,15,5
2020-11-14T22:12:00-03:00,0,2,4,11,2
2020-11-14T22:20:00-03:00,0,0,2,13,7
2020-11-14T22:28:00-03:00,2,0,7,22,12
2020-11-14T22:36:00-03:00,0,0,8,8,11
2020-11-14T22:44:00-03:00,0,0,3,15,5
2020-11-14T22:52:00-03:00,0,0,10,13,18
2020-11-14T23:00:00-03:00,0,0,14,5,14
2020-11-14T23:08:00-03:00,0,0,11,16,11
2020-11-14T23:16:00-03:00,0,0,3,14,20
2020-11-14T23:24:00-03:00,2,2,10,5,10
2020-11-14T23:32:00-03:00,0,0,6,26,18
2020-11-14T23:40:00-03:00,0,0,7,10,0
2020-11-14T23:48:00-03:00,0,0,0,3,0
2020-11-14T23:56:00-03:00,4,4,0,11,7
2020-11-15T00:04:00-03:00,0,0,12,8,4
2020-11-15T00:12:00-03:00,0,0,9,8,21
2020-11-15T00:20:00-03:00,0,0,19,18,5
2020-11-15T00:28:00-03:00,0,0,9,18,0
2020-11-15T00:36:00-03:00,0,0,0,16,16
2020-11-15T00:44:00-03:00,6,0,0,22,22
2020-11-15T00:52:00-03:00,0,0,11,0,6
2020-11-15T01:00:00-03:00,0,0,0,12,24
2020-11-15T01:08:00-03:00,0,0,0,13,0
2020-11-15T01:16:00-03:00,0,0,0,0,14
2020-11-15T01:24:00-03:00,0,0,7,0,0
2020-11-15T01:32:00-03:00,0,0,7,14,7
2020-11-15T01:40:00-03:00,0,0,0,8,8
2020-11-15T01:48:00-03:00,0,0,0,16,16
2020-11-15T01:56:00-03:00,0,0,0,9,26
2020-11-15T02:04:00-03:00,0,0,10,9,19
2020-11-15T02:12:00-03:00,0,0,10,10,10
2020-11-15T02:20:00-03:00,0,0,0,20,0
2020-11-15T02:28:00-03:00,0,0,11,0,11
2020-11-15T02:36:00-03:00,0,0,0,0,34
2020-11-15T02:44:00-03:00,0,0,0,0,12
2020-11-15T02:52:00-03:00,0,0,12,12,0
