Time,João Almeida: (State of Paraíba),Camilo Duarte: (State of Paraíba),Anísio Maia: (State of Paraíba),Ruy Carneiro: (State of Paraíba),Carlos Monteiro: (State of Paraíba)
2020-11-14T17:48:00-03:00,0,0,0,7,0
2020-11-14T17:56:00-03:00,2,0,0,2,0
2020-11-14T18:04:00-03:00,2,0,0,0,0
2020-11-14T18:12:00-03:00,0,0,0,12,0
2020-11-14T18:20:00-03:00,0,0,0,13,0
2020-11-14T18:28:00-03:00,2,0,0,0,2
2020-11-14T18:36:00-03:00,0,0,0,7,0
2020-11-14T18:44:00-03:00,0,0,0,12,2
2020-11-14T18:52:00-03:00,0,0,0,9,0
2020-11-14T19:00:00-03:00,0,2,0,9,5
2020-11-14T19:08:00-03:00,2,0,0,5,0
2020-11-14T19:16:00-03:00,0,0,0,0,0
2020-11-14T19:24:00-03:00,2,0,0,15,0
2020-11-14T19:32:00-03:00,4,7,0,26,0
2020-11-14T19:40:00-03:00,0,0,0,16,2
2020-11-14T19:48:00-03:00,0,0,0,37,0
2020-11-14T19:56:00-03:00,0,2,0,21,2
2020-11-14T20:04:00-03:00,0,0,0,20,0
2020-11-14T20:12:00-03:00,2,2,0,9,2
2020-11-14T20:20:00-03:00,2,0,0,11,0
2020-11-14T20:28:00-03:00,4,0,0,28,0
2020-11-14T20:36:00-03:00,0,0,0,8,2
2020-11-14T20:44:00-03:00,0,0,0,20,2
2020-11-14T20:52:00-03:00,0,0,2,16,0
2020-11-14T21:00:00-03:00,2,0,2,9,0
2020-11-14T21:08:00-03:00,2,0,0,11,2
2020-11-14T21:16:00-03:00,0,0,0,17,0
2020-11-14T21:24:00-03:00,0,2,0,17,0
2020-11-14T21:32:00-03:00,0,0,2,10,2
2020-11-14T21:40:00-03:00,0,2,0,13,0
2020-11-14T21:48:00-03:00,0,0,0,16,2
2020-11-14T21:56:00-03:00,2,0,0,11,0
2020-11-14T22:04:00-03:00,0,0,0,15,0
2020-11-14T22:12:00-03:00,0,0,0,11,0
2020-11-14T22:20:00-03:00,0,2,0,13,0
2020-11-14T22:28:00-03:00,0,0,0,22,0
2020-11-14T22:36:00-03:00,3,0,0,8,0
2020-11-14T22:44:00-03:00,3,0,0,15,0
2020-11-14T22:52:00-03:00,0,0,0,13,0
2020-11-14T23:00:00-03:00,3,0,0,5,0
2020-11-14T23:08:00-03:00,0,0,0,16,3
2020-11-14T23:16:00-03:00,0,0,0,14,0
2020-11-14T23:24:00-03:00,0,0,0,5,0
2020-11-14T23:32:00-03:00,0,0,0,26,0
2020-11-14T23:40:00-03:00,0,0,0,10,0
2020-11-14T23:48:00-03:00,0,0,0,3,0
2020-11-14T23:56:00-03:00,0,0,0,11,0
2020-11-15T00:04:00-03:00,0,0,4,8,0
2020-11-15T00:12:00-03:00,0,0,0,8,0
2020-11-15T00:20:00-03:00,9,0,0,18,0
2020-11-15T00:28:00-03:00,0,0,0,18,0
2020-11-15T00:36:00-03:00,0,0,0,16,0
2020-11-15T00:44:00-03:00,0,0,0,22,0
2020-11-15T00:52:00-03:00,0,0,0,0,0
2020-11-15T01:00:00-03:00,0,0,0,12,6
2020-11-15T01:08:00-03:00,0,0,0,13,0
2020-11-15T01:16:00-03:00,0,0,0,0,0
2020-11-15T01:24:00-03:00,7,0,0,0,0
2020-11-15T01:32:00-03:00,0,0,0,14,0
2020-11-15T01:40:00-03:00,0,0,0,8,0
2020-11-15T01:48:00-03:00,8,0,0,16,0
2020-11-15T01:56:00-03:00,0,0,0,9,0
2020-11-15T02:04:00-03:00,0,0,0,9,0
2020-11-15T02:12:00-03:00,0,0,0,10,0
2020-11-15T02:20:00-03:00,0,0,0,20,0
2020-11-15T02:28:00-03:00,0,0,0,0,0
2020-11-15T02:36:00-03:00,0,0,0,0,0
2020-11-15T02:44:00-03:00,12,0,0,0,0
2020-11-15T02:52:00-03:00,13,0,13,12,0
2020-11-15T03:00:00-03:00,0,0,0,0,0
2020-11-15T03:08:00-03:00,0,0,0,0,0
2020-11-15T03:16:00-03:00,0,0,0,0,0
