Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-13T15:24:00-03:00,31,10,3,24,33
2020-11-13T15:32:00-03:00,26,10,1,17,28
2020-11-13T15:40:00-03:00,31,6,4,17,27
2020-11-13T15:48:00-03:00,29,11,3,16,41
2020-11-13T15:56:00-03:00,22,10,3,18,27
2020-11-13T16:04:00-03:00,24,9,3,14,36
2020-11-13T16:12:00-03:00,29,13,5,22,21
2020-11-13T16:20:00-03:00,26,13,5,23,34
2020-11-13T16:28:00-03:00,31,10,5,19,32
2020-11-13T16:36:00-03:00,26,12,2,15,32
2020-11-13T16:44:00-03:00,23,12,8,12,44
2020-11-13T16:52:00-03:00,19,17,3,13,27
2020-11-13T17:00:00-03:00,31,12,6,19,34
2020-11-13T17:08:00-03:00,26,13,3,15,30
2020-11-13T17:16:00-03:00,26,14,5,18,24
2020-11-13T17:24:00-03:00,27,14,3,14,43
2020-11-13T17:32:00-03:00,29,9,6,18,38
2020-11-13T17:40:00-03:00,25,10,5,17,27
2020-11-13T17:48:00-03:00,32,5,2,17,27
2020-11-13T17:56:00-03:00,28,8,8,11,41
2020-11-13T18:04:00-03:00,34,7,4,14,29
2020-11-13T18:12:00-03:00,32,15,4,18,32
2020-11-13T18:20:00-03:00,34,9,1,11,32
2020-11-13T18:28:00-03:00,19,16,3,17,26
2020-11-13T18:36:00-03:00,36,26,8,15,37
2020-11-13T18:44:00-03:00,51,22,5,20,53
2020-11-13T18:52:00-03:00,28,14,0,15,59
2020-11-13T19:00:00-03:00,79,14,9,27,57
2020-11-13T19:08:00-03:00,41,22,3,12,63
2020-11-13T19:16:00-03:00,39,18,9,8,56
2020-11-13T19:24:00-03:00,31,12,3,9,41
2020-11-13T19:32:00-03:00,32,12,1,14,51
2020-11-13T19:40:00-03:00,30,12,4,12,51
2020-11-13T19:48:00-03:00,35,17,4,19,52
2020-11-13T19:56:00-03:00,29,16,3,19,38
2020-11-13T20:04:00-03:00,34,11,5,15,43
2020-11-13T20:12:00-03:00,33,15,9,15,47
2020-11-13T20:20:00-03:00,27,29,4,22,67
2020-11-13T20:28:00-03:00,31,12,6,17,46
2020-11-13T20:36:00-03:00,42,12,4,21,53
2020-11-13T20:44:00-03:00,36,12,3,24,47
2020-11-13T20:52:00-03:00,43,15,5,21,49
2020-11-13T21:00:00-03:00,31,22,8,11,53
2020-11-13T21:08:00-03:00,40,20,5,26,42
2020-11-13T21:16:00-03:00,30,7,3,19,37
2020-11-13T21:24:00-03:00,42,16,4,16,38
2020-11-13T21:32:00-03:00,34,17,5,20,37
2020-11-13T21:40:00-03:00,43,10,5,18,42
2020-11-13T21:48:00-03:00,23,12,5,18,38
2020-11-13T21:56:00-03:00,32,17,7,20,53
2020-11-13T22:04:00-03:00,30,19,4,12,41
2020-11-13T22:12:00-03:00,45,18,9,15,43
2020-11-13T22:20:00-03:00,26,15,2,22,57
2020-11-13T22:28:00-03:00,36,19,2,21,37
2020-11-13T22:36:00-03:00,29,15,8,24,29
2020-11-13T22:44:00-03:00,37,18,3,17,25
2020-11-13T22:52:00-03:00,41,10,1,19,35
2020-11-13T23:00:00-03:00,42,13,2,20,32
2020-11-13T23:08:00-03:00,38,17,5,31,29
2020-11-13T23:16:00-03:00,25,16,2,12,49
2020-11-13T23:24:00-03:00,42,14,10,26,38
2020-11-13T23:32:00-03:00,41,8,10,14,37
2020-11-13T23:40:00-03:00,37,14,5,20,39
2020-11-13T23:48:00-03:00,35,9,8,21,32
2020-11-13T23:56:00-03:00,44,17,7,26,36
2020-11-14T00:04:00-03:00,34,7,5,29,35
2020-11-14T00:12:00-03:00,40,11,2,20,36
2020-11-14T00:20:00-03:00,33,20,2,28,43
2020-11-14T00:28:00-03:00,53,20,2,15,38
2020-11-14T00:36:00-03:00,50,13,6,32,53
2020-11-14T00:44:00-03:00,28,12,4,40,60
2020-11-14T00:52:00-03:00,45,21,2,28,32
2020-11-14T01:00:00-03:00,44,18,2,18,39
2020-11-14T01:08:00-03:00,41,24,5,24,53
2020-11-14T01:16:00-03:00,21,13,13,18,31
2020-11-14T01:24:00-03:00,50,21,3,33,55
2020-11-14T01:32:00-03:00,52,8,9,14,49
2020-11-14T01:40:00-03:00,52,3,0,18,27
2020-11-14T01:48:00-03:00,51,6,3,25,60
2020-11-14T01:56:00-03:00,45,7,7,17,17
2020-11-14T02:04:00-03:00,25,24,0,7,21
2020-11-14T02:12:00-03:00,53,29,8,26,37
2020-11-14T02:20:00-03:00,40,31,4,16,16
2020-11-14T02:28:00-03:00,38,21,0,30,34
2020-11-14T02:36:00-03:00,54,9,5,18,27
2020-11-14T02:44:00-03:00,39,5,0,14,29
2020-11-14T02:52:00-03:00,64,15,0,21,32
2020-11-14T03:00:00-03:00,61,16,0,28,16
2020-11-14T03:08:00-03:00,48,12,6,12,6
2020-11-14T03:16:00-03:00,6,12,6,19,19
2020-11-14T03:24:00-03:00,69,7,0,28,27
2020-11-14T03:32:00-03:00,36,14,0,7,22
2020-11-14T03:40:00-03:00,21,14,0,7,41
2020-11-14T03:48:00-03:00,22,22,0,15,37
2020-11-14T03:56:00-03:00,62,15,0,15,23
2020-11-14T04:04:00-03:00,71,8,0,8,16
2020-11-14T04:12:00-03:00,73,31,8,24,16
2020-11-14T04:20:00-03:00,33,16,8,32,24
2020-11-14T04:28:00-03:00,40,15,8,8,16
2020-11-14T04:36:00-03:00,31,15,8,8,31
2020-11-14T04:44:00-03:00,8,15,8,8,15
2020-11-14T04:52:00-03:00,24,8,0,16,16
2020-11-14T05:00:00-03:00,37,0,7,29,29
2020-11-14T05:08:00-03:00,50,7,0,7,14
2020-11-14T05:16:00-03:00,27,7,0,13,0
2020-11-14T05:24:00-03:00,30,18,0,0,36
2020-11-14T05:32:00-03:00,22,5,0,11,17
2020-11-14T05:40:00-03:00,58,5,5,31,16
2020-11-14T05:48:00-03:00,15,14,15,15,19
2020-11-14T05:56:00-03:00,27,13,4,13,40
2020-11-14T06:04:00-03:00,16,12,4,24,20
2020-11-14T06:12:00-03:00,38,11,4,8,45
2020-11-14T06:20:00-03:00,29,17,14,25,32
2020-11-14T06:28:00-03:00,10,19,3,16,40
2020-11-14T06:36:00-03:00,18,6,6,6,36
2020-11-14T06:44:00-03:00,15,12,0,15,33
