Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T18:23:00-03:00,31,10,7,0,49
2020-11-14T18:24:00-03:00,28,14,7,5,43
2020-11-14T18:25:00-03:00,22,12,12,2,34
2020-11-14T18:26:00-03:00,23,9,5,9,30
2020-11-14T18:27:00-03:00,34,16,9,4,47
2020-11-14T18:28:00-03:00,44,13,0,9,38
2020-11-14T18:29:00-03:00,33,14,5,7,31
2020-11-14T18:30:00-03:00,29,12,9,2,48
2020-11-14T18:31:00-03:00,20,18,9,7,45
2020-11-14T18:32:00-03:00,25,14,5,2,55
2020-11-14T18:33:00-03:00,35,12,5,7,37
2020-11-14T18:34:00-03:00,30,12,9,0,49
2020-11-14T18:35:00-03:00,30,12,9,9,51
2020-11-14T18:36:00-03:00,28,16,12,12,63
2020-11-14T18:37:00-03:00,34,25,7,7,64
2020-11-14T18:38:00-03:00,35,19,7,9,58
2020-11-14T18:39:00-03:00,40,30,14,14,86
2020-11-14T18:40:00-03:00,37,19,7,12,42
2020-11-14T18:41:00-03:00,21,26,2,10,55
2020-11-14T18:42:00-03:00,24,12,2,15,53
2020-11-14T18:43:00-03:00,60,14,2,2,34
2020-11-14T18:44:00-03:00,58,29,7,0,68
2020-11-14T18:45:00-03:00,61,15,15,7,36
2020-11-14T18:46:00-03:00,24,10,12,10,39
2020-11-14T18:47:00-03:00,34,22,5,2,75
2020-11-14T18:48:00-03:00,31,17,7,2,56
2020-11-14T18:49:00-03:00,37,29,7,2,54
2020-11-14T18:50:00-03:00,49,22,5,10,57
2020-11-14T18:51:00-03:00,24,12,10,12,38
2020-11-14T18:52:00-03:00,27,12,0,10,64
2020-11-14T18:53:00-03:00,22,12,10,0,41
2020-11-14T18:54:00-03:00,43,10,2,10,76
2020-11-14T18:55:00-03:00,21,17,7,5,45
2020-11-14T18:56:00-03:00,35,7,7,9,59
2020-11-14T18:57:00-03:00,31,9,5,14,67
2020-11-14T18:58:00-03:00,45,17,12,14,69
2020-11-14T18:59:00-03:00,24,21,2,2,54
2020-11-14T19:00:00-03:00,31,14,5,7,50
2020-11-14T19:01:00-03:00,25,14,7,7,44
2020-11-14T19:02:00-03:00,22,24,2,15,61
2020-11-14T19:03:00-03:00,39,9,9,7,35
2020-11-14T19:04:00-03:00,39,7,2,0,30
2020-11-14T19:05:00-03:00,23,20,2,5,50
2020-11-14T19:06:00-03:00,47,14,0,9,42
2020-11-14T19:07:00-03:00,29,9,15,13,42
2020-11-14T19:08:00-03:00,35,10,0,14,49
2020-11-14T19:09:00-03:00,12,12,0,12,54
2020-11-14T19:10:00-03:00,15,8,4,2,47
2020-11-14T19:11:00-03:00,18,10,10,2,37
2020-11-14T19:12:00-03:00,28,16,6,12,40
2020-11-14T19:13:00-03:00,33,14,4,4,31
2020-11-14T19:14:00-03:00,30,13,10,2,44
2020-11-14T19:15:00-03:00,15,17,6,7,59
2020-11-14T19:16:00-03:00,60,14,3,7,77
2020-11-14T19:17:00-03:00,38,33,5,9,75
2020-11-14T19:18:00-03:00,36,53,7,14,76
2020-11-14T19:19:00-03:00,34,32,5,14,94
2020-11-14T19:20:00-03:00,41,41,9,8,86
2020-11-14T19:21:00-03:00,48,21,12,15,100
