Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-14T15:16:00-03:00,5,2,1,1,7
2020-11-14T15:24:00-03:00,6,3,1,2,8
2020-11-14T15:32:00-03:00,6,2,1,2,7
2020-11-14T15:40:00-03:00,6,2,1,1,8
2020-11-14T15:48:00-03:00,5,2,1,1,6
2020-11-14T15:56:00-03:00,5,2,1,1,7
2020-11-14T16:04:00-03:00,5,1,1,1,7
2020-11-14T16:12:00-03:00,4,2,1,1,6
2020-11-14T16:20:00-03:00,6,3,1,2,11
2020-11-14T16:28:00-03:00,6,3,1,1,11
2020-11-14T16:36:00-03:00,5,2,1,1,9
2020-11-14T16:44:00-03:00,5,3,2,2,8
2020-11-14T16:52:00-03:00,6,3,1,1,9
2020-11-14T17:00:00-03:00,5,2,1,2,9
2020-11-14T17:08:00-03:00,6,3,1,1,9
2020-11-14T17:16:00-03:00,5,3,1,1,9
2020-11-14T17:24:00-03:00,5,2,1,1,8
2020-11-14T17:32:00-03:00,5,3,1,1,9
2020-11-14T17:40:00-03:00,5,2,1,1,9
2020-11-14T17:48:00-03:00,6,2,2,1,9
2020-11-14T17:56:00-03:00,7,2,1,2,9
2020-11-14T18:04:00-03:00,7,3,1,2,11
2020-11-14T18:12:00-03:00,9,5,2,2,12
2020-11-14T18:20:00-03:00,8,4,2,1,11
2020-11-14T18:28:00-03:00,8,4,2,2,12
2020-11-14T18:36:00-03:00,9,5,2,3,15
2020-11-14T18:44:00-03:00,11,5,2,2,14
2020-11-14T18:52:00-03:00,8,4,1,2,16
2020-11-14T19:00:00-03:00,8,4,1,2,12
2020-11-14T19:08:00-03:00,6,3,1,2,12
2020-11-14T19:16:00-03:00,10,7,2,2,21
2020-11-14T19:24:00-03:00,11,7,2,3,24
2020-11-14T19:32:00-03:00,9,8,2,3,28
2020-11-14T19:40:00-03:00,7,6,2,2,16
2020-11-14T19:48:00-03:00,8,4,2,2,16
2020-11-14T19:56:00-03:00,9,6,2,3,17
2020-11-14T20:04:00-03:00,10,4,3,2,17
2020-11-14T20:12:00-03:00,8,5,2,2,18
2020-11-14T20:20:00-03:00,8,4,1,2,19
2020-11-14T20:28:00-03:00,10,5,2,2,19
2020-11-14T20:36:00-03:00,9,5,2,2,19
2020-11-14T20:44:00-03:00,15,10,2,5,30
2020-11-14T20:52:00-03:00,10,8,2,4,22
2020-11-14T21:00:00-03:00,8,6,3,2,17
