Category: All categories

Time,Márcio França: (State of São Paulo),Marina Helou: (State of São Paulo),Orlando Silva: (State of São Paulo),Bruno Covas: (State of São Paulo),Levy Fidelix: (State of São Paulo)
2020-11-15T07:40:00-03:00,5,1,0,65,2
2020-11-15T07:41:00-03:00,5,2,1,83,5
2020-11-15T07:42:00-03:00,1,0,0,59,2
2020-11-15T07:43:00-03:00,9,1,0,78,0
2020-11-15T07:44:00-03:00,6,1,0,75,2
2020-11-15T07:45:00-03:00,9,3,0,74,2
2020-11-15T07:46:00-03:00,8,1,0,64,1
2020-11-15T07:47:00-03:00,7,0,2,62,1
2020-11-15T07:48:00-03:00,7,4,0,61,1
2020-11-15T07:49:00-03:00,3,0,0,65,1
2020-11-15T07:50:00-03:00,10,1,0,81,3
2020-11-15T07:51:00-03:00,3,1,0,65,1
2020-11-15T07:52:00-03:00,9,3,1,60,2
2020-11-15T07:53:00-03:00,5,0,0,61,1
2020-11-15T07:54:00-03:00,4,1,0,58,2
2020-11-15T07:55:00-03:00,9,3,0,75,2
2020-11-15T07:56:00-03:00,3,1,1,68,1
2020-11-15T07:57:00-03:00,5,2,0,68,0
2020-11-15T07:58:00-03:00,9,1,1,81,2
2020-11-15T07:59:00-03:00,10,5,1,71,0
2020-11-15T08:00:00-03:00,8,0,0,75,1
2020-11-15T08:01:00-03:00,3,3,0,100,2
2020-11-15T08:02:00-03:00,5,1,2,63,1
2020-11-15T08:03:00-03:00,10,2,0,73,2
2020-11-15T08:04:00-03:00,4,2,0,63,1
2020-11-15T08:05:00-03:00,8,1,1,72,0
2020-11-15T08:06:00-03:00,7,6,0,71,0
2020-11-15T08:07:00-03:00,6,2,0,73,1
2020-11-15T08:08:00-03:00,2,4,0,62,4
2020-11-15T08:09:00-03:00,4,1,1,61,2
2020-11-15T08:10:00-03:00,5,0,0,65,4
2020-11-15T08:11:00-03:00,3,2,0,61,1
2020-11-15T08:12:00-03:00,10,2,1,65,1
2020-11-15T08:13:00-03:00,6,3,0,54,0
2020-11-15T08:14:00-03:00,7,1,1,69,2
2020-11-15T08:15:00-03:00,2,2,1,64,4
2020-11-15T08:16:00-03:00,7,2,0,61,2
2020-11-15T08:17:00-03:00,5,3,1,72,4
2020-11-15T08:18:00-03:00,8,3,1,59,2
2020-11-15T08:19:00-03:00,8,3,0,56,2
2020-11-15T08:20:00-03:00,13,3,0,54,2
2020-11-15T08:21:00-03:00,6,1,2,75,1
2020-11-15T08:22:00-03:00,7,2,0,76,1
2020-11-15T08:23:00-03:00,9,3,0,67,0
2020-11-15T08:24:00-03:00,4,2,0,80,1
2020-11-15T08:25:00-03:00,9,2,1,61,2
2020-11-15T08:26:00-03:00,4,3,1,73,1
2020-11-15T08:27:00-03:00,7,3,0,71,1
2020-11-15T08:28:00-03:00,7,4,0,58,1
2020-11-15T08:29:00-03:00,5,1,0,63,2
2020-11-15T08:30:00-03:00,5,5,1,56,1
2020-11-15T08:31:00-03:00,9,2,1,64,1
2020-11-15T08:32:00-03:00,4,4,0,68,3
2020-11-15T08:33:00-03:00,5,3,1,62,0
2020-11-15T08:34:00-03:00,4,1,0,52,4
2020-11-15T08:35:00-03:00,8,3,1,70,4
2020-11-15T08:36:00-03:00,9,3,0,72,4
2020-11-15T08:37:00-03:00,6,2,2,84,1
2020-11-15T08:38:00-03:00,6,1,2,91,1
