Category: All categories

Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-15T07:40:00-03:00,22,9,5,3,62
2020-11-15T07:41:00-03:00,9,8,9,2,81
2020-11-15T07:42:00-03:00,22,7,12,2,57
2020-11-15T07:43:00-03:00,18,10,11,0,77
2020-11-15T07:44:00-03:00,22,14,9,7,72
2020-11-15T07:45:00-03:00,19,11,5,3,71
2020-11-15T07:46:00-03:00,15,12,4,5,59
2020-11-15T07:47:00-03:00,15,6,5,4,59
2020-11-15T07:48:00-03:00,23,10,9,1,58
2020-11-15T07:49:00-03:00,24,10,8,5,66
2020-11-15T07:50:00-03:00,17,8,5,3,81
2020-11-15T07:51:00-03:00,18,4,6,2,62
2020-11-15T07:52:00-03:00,16,5,13,1,55
2020-11-15T07:53:00-03:00,7,7,8,4,58
2020-11-15T07:54:00-03:00,13,16,7,3,52
2020-11-15T07:55:00-03:00,14,10,9,6,72
2020-11-15T07:56:00-03:00,20,13,11,2,66
2020-11-15T07:57:00-03:00,16,12,3,5,64
2020-11-15T07:58:00-03:00,17,14,8,8,78
2020-11-15T07:59:00-03:00,19,4,16,3,66
2020-11-15T08:00:00-03:00,15,12,5,5,73
2020-11-15T08:01:00-03:00,19,6,4,3,100
2020-11-15T08:02:00-03:00,15,10,6,2,60
2020-11-15T08:03:00-03:00,13,8,8,5,74
2020-11-15T08:04:00-03:00,17,12,7,1,62
2020-11-15T08:05:00-03:00,19,12,10,2,71
2020-11-15T08:06:00-03:00,18,9,9,0,67
2020-11-15T08:07:00-03:00,16,15,7,2,73
2020-11-15T08:08:00-03:00,19,12,9,3,58
2020-11-15T08:09:00-03:00,18,8,10,2,60
2020-11-15T08:10:00-03:00,18,6,6,3,64
2020-11-15T08:11:00-03:00,23,13,10,2,59
2020-11-15T08:12:00-03:00,21,17,6,4,63
2020-11-15T08:13:00-03:00,14,13,9,3,54
2020-11-15T08:14:00-03:00,16,13,7,1,67
2020-11-15T08:15:00-03:00,22,7,14,7,61
2020-11-15T08:16:00-03:00,20,13,11,4,58
2020-11-15T08:17:00-03:00,17,12,4,4,71
2020-11-15T08:18:00-03:00,11,15,4,6,57
2020-11-15T08:19:00-03:00,22,8,9,3,54
2020-11-15T08:20:00-03:00,19,9,9,4,53
2020-11-15T08:21:00-03:00,12,14,11,1,72
2020-11-15T08:22:00-03:00,14,10,8,3,72
2020-11-15T08:23:00-03:00,15,13,13,4,64
2020-11-15T08:24:00-03:00,27,9,9,4,75
2020-11-15T08:25:00-03:00,21,12,4,2,56
2020-11-15T08:26:00-03:00,21,8,7,2,73
2020-11-15T08:27:00-03:00,31,12,13,2,69
2020-11-15T08:28:00-03:00,14,10,7,2,55
2020-11-15T08:29:00-03:00,15,14,6,4,61
2020-11-15T08:30:00-03:00,19,5,6,2,51
2020-11-15T08:31:00-03:00,25,14,9,1,63
2020-11-15T08:32:00-03:00,18,13,9,4,66
2020-11-15T08:33:00-03:00,24,8,7,2,57
2020-11-15T08:34:00-03:00,20,10,9,4,51
2020-11-15T08:35:00-03:00,20,11,8,2,65
2020-11-15T08:36:00-03:00,25,12,8,4,66
2020-11-15T08:37:00-03:00,23,14,8,2,76
2020-11-15T08:38:00-03:00,24,8,4,6,76
2020-11-15T08:39:00-03:00,18,12,8,5,61
