Category: All categories

Time,Andrea Matarazzo: (State of São Paulo),Antônio Carlos: (State of São Paulo),Jilmar Tatto: (State of São Paulo),Bruno Covas: (State of São Paulo),Levy Fidelix: (State of São Paulo)
2020-11-15T07:40:00-03:00,5,0,2,63,2
2020-11-15T07:41:00-03:00,9,0,0,81,5
2020-11-15T07:42:00-03:00,11,0,2,58,2
2020-11-15T07:43:00-03:00,9,0,2,76,0
2020-11-15T07:44:00-03:00,3,0,2,74,2
2020-11-15T07:45:00-03:00,7,0,1,72,2
2020-11-15T07:46:00-03:00,10,0,4,63,1
2020-11-15T07:47:00-03:00,10,1,3,60,1
2020-11-15T07:48:00-03:00,5,0,3,60,1
2020-11-15T07:49:00-03:00,5,0,3,64,1
2020-11-15T07:50:00-03:00,7,1,2,79,3
2020-11-15T07:51:00-03:00,4,1,2,63,1
2020-11-15T07:52:00-03:00,2,0,2,59,2
2020-11-15T07:53:00-03:00,4,0,5,58,1
2020-11-15T07:54:00-03:00,6,0,0,57,2
2020-11-15T07:55:00-03:00,5,0,4,72,2
2020-11-15T07:56:00-03:00,9,0,5,67,1
2020-11-15T07:57:00-03:00,8,1,1,67,0
2020-11-15T07:58:00-03:00,6,0,1,79,2
2020-11-15T07:59:00-03:00,9,0,4,68,0
2020-11-15T08:00:00-03:00,10,0,0,73,1
2020-11-15T08:01:00-03:00,7,0,1,100,2
2020-11-15T08:02:00-03:00,9,1,3,62,1
2020-11-15T08:03:00-03:00,7,0,3,72,2
2020-11-15T08:04:00-03:00,2,0,0,62,1
2020-11-15T08:05:00-03:00,9,0,2,71,0
2020-11-15T08:06:00-03:00,6,0,1,69,0
2020-11-15T08:07:00-03:00,5,0,3,72,1
2020-11-15T08:08:00-03:00,4,0,3,60,4
2020-11-15T08:09:00-03:00,7,0,0,60,2
2020-11-15T08:10:00-03:00,6,0,5,63,4
2020-11-15T08:11:00-03:00,10,0,3,59,1
2020-11-15T08:12:00-03:00,13,0,1,64,1
2020-11-15T08:13:00-03:00,7,0,2,52,0
2020-11-15T08:14:00-03:00,5,1,4,65,2
2020-11-15T08:15:00-03:00,5,0,0,63,4
2020-11-15T08:16:00-03:00,9,1,1,59,2
2020-11-15T08:17:00-03:00,4,0,4,70,4
2020-11-15T08:18:00-03:00,12,1,1,56,2
2020-11-15T08:19:00-03:00,7,0,1,55,2
2020-11-15T08:20:00-03:00,10,0,3,52,2
2020-11-15T08:21:00-03:00,8,0,1,74,1
2020-11-15T08:22:00-03:00,5,0,4,74,1
2020-11-15T08:23:00-03:00,8,0,2,65,0
2020-11-15T08:24:00-03:00,8,1,2,79,1
2020-11-15T08:25:00-03:00,5,0,5,59,2
2020-11-15T08:26:00-03:00,8,1,3,73,1
2020-11-15T08:27:00-03:00,7,0,2,72,1
2020-11-15T08:28:00-03:00,7,0,2,57,1
2020-11-15T08:29:00-03:00,7,0,2,62,2
2020-11-15T08:30:00-03:00,6,0,3,52,1
2020-11-15T08:31:00-03:00,3,0,0,62,1
2020-11-15T08:32:00-03:00,5,0,3,67,2
2020-11-15T08:33:00-03:00,13,0,4,60,0
2020-11-15T08:34:00-03:00,9,0,2,52,3
2020-11-15T08:35:00-03:00,7,0,1,66,4
2020-11-15T08:36:00-03:00,9,0,3,67,4
2020-11-15T08:37:00-03:00,9,0,3,73,1
2020-11-15T08:38:00-03:00,7,1,3,77,0
2020-11-15T08:39:00-03:00,4,0,1,61,1
