Time,Arthur do Val: (State of São Paulo),Guilherme Boulos: (State of São Paulo),Celso Russomano: (State of São Paulo),Joice Hasselmann: (State of São Paulo),Bruno Covas: (State of São Paulo)
2020-11-07T16,9,5,0,5,23
2020-11-07T17,5,5,0,10,5
2020-11-07T18,9,5,0,0,5
2020-11-07T19,5,0,0,0,28
2020-11-07T20,5,0,0,5,14
2020-11-07T21,9,5,0,9,9
2020-11-07T22,5,0,5,15,25
2020-11-07T23,5,0,0,6,55
2020-11-08T00,7,0,0,7,0
2020-11-08T01,0,0,0,10,20
2020-11-08T02,15,0,0,0,45
2020-11-08T03,0,48,0,24,0
2020-11-08T04,0,0,0,0,0
2020-11-08T05,0,0,0,43,0
2020-11-08T06,0,0,0,34,0
2020-11-08T07,0,0,0,0,0
2020-11-08T08,0,0,0,0,0
2020-11-08T09,0,0,0,0,0
2020-11-08T10,0,0,0,0,6
2020-11-08T11,0,6,0,0,22
2020-11-08T12,5,0,0,0,21
2020-11-08T13,0,5,5,11,10
2020-11-08T14,0,0,5,19,9
2020-11-08T15,0,0,5,5,19
2020-11-08T16,4,0,0,0,9
2020-11-08T17,0,0,0,0,14
2020-11-08T18,4,9,5,0,18
2020-11-08T19,0,0,0,4,21
2020-11-08T20,0,0,0,4,8
2020-11-08T21,4,0,0,4,32
2020-11-08T22,0,0,4,4,38
2020-11-08T23,5,0,0,10,10
2020-11-09T00,7,0,0,14,14
2020-11-09T01,0,0,0,11,21
2020-11-09T02,0,0,0,19,0
2020-11-09T03,0,0,0,0,0
2020-11-09T04,0,0,0,38,0
2020-11-09T05,0,40,0,0,0
2020-11-09T06,0,0,0,0,0
2020-11-09T07,0,0,10,0,19
2020-11-09T08,5,0,0,0,23
2020-11-09T09,3,0,3,0,12
2020-11-09T10,7,0,0,0,10
2020-11-09T11,2,2,0,7,18
2020-11-09T12,19,0,0,3,19
2020-11-09T13,0,10,0,3,8
2020-11-09T14,4,2,0,2,0
2020-11-09T15,2,4,4,2,2
2020-11-09T16,6,2,0,7,7
2020-11-09T17,12,0,5,0,7
2020-11-09T18,0,3,0,6,12
2020-11-09T19,9,9,0,16,18
2020-11-09T20,3,9,0,9,18
2020-11-09T21,9,3,0,3,12
2020-11-09T22,13,11,0,11,27
2020-11-09T23,5,0,0,5,5
2020-11-10T00,13,7,7,0,0
2020-11-10T01,0,0,0,11,0
2020-11-10T02,0,0,0,0,0
2020-11-10T03,0,0,0,0,0
2020-11-10T04,0,0,0,76,0
2020-11-10T05,71,0,0,0,0
2020-11-10T06,42,22,0,0,0
2020-11-10T07,0,0,0,9,0
2020-11-10T08,0,9,0,0,9
2020-11-10T09,6,3,3,6,6
2020-11-10T10,2,0,5,0,2
2020-11-10T11,2,2,0,0,5
2020-11-10T12,5,5,3,0,19
2020-11-10T13,8,0,0,16,31
2020-11-10T14,4,7,0,2,15
2020-11-10T15,4,2,0,9,10
2020-11-10T16,6,4,0,9,13
2020-11-10T17,10,0,3,5,24
2020-11-10T18,3,3,0,3,21
2020-11-10T19,3,0,3,10,15
2020-11-10T20,6,3,0,6,49
2020-11-10T21,12,3,3,22,25
2020-11-10T22,10,4,0,25,38
2020-11-10T23,0,0,0,5,0
2020-11-11T00,0,0,0,0,6
2020-11-11T01,10,0,0,31,0
2020-11-11T02,32,17,0,0,33
2020-11-11T03,0,0,0,0,0
2020-11-11T04,0,0,0,0,38
2020-11-11T05,0,0,0,0,0
2020-11-11T06,20,0,0,0,0
2020-11-11T07,0,0,0,0,8
2020-11-11T08,4,4,0,4,13
2020-11-11T09,3,0,0,6,3
2020-11-11T10,2,5,0,5,10
2020-11-11T11,17,4,2,4,19
2020-11-11T12,8,6,0,8,11
2020-11-11T13,7,5,5,5,20
2020-11-11T14,6,0,0,8,6
2020-11-11T15,6,4,0,4,13
2020-11-11T16,4,0,0,4,6
2020-11-11T17,5,0,0,0,10
2020-11-11T18,18,0,3,0,27
2020-11-11T19,12,10,0,0,25
2020-11-11T20,9,3,3,13,61
2020-11-11T21,3,13,0,3,28
2020-11-11T22,7,11,7,18,21
2020-11-11T23,9,5,14,19,14
2020-11-12T00,6,0,0,0,20
2020-11-12T01,21,0,0,0,0
2020-11-12T02,0,0,0,0,36
2020-11-12T03,0,0,0,0,0
2020-11-12T04,0,75,0,0,0
2020-11-12T05,0,0,0,68,0
2020-11-12T06,39,0,0,0,20
2020-11-12T07,8,0,0,18,26
2020-11-12T08,0,0,0,9,21
2020-11-12T09,6,0,6,9,29
2020-11-12T10,2,10,2,0,17
2020-11-12T11,19,2,0,5,4
2020-11-12T12,3,3,0,5,21
2020-11-12T13,7,3,0,28,27
2020-11-12T14,8,0,0,33,17
2020-11-12T15,8,0,6,15,13
2020-11-12T16,6,7,4,13,26
2020-11-12T17,5,0,0,16,8
2020-11-12T18,6,0,3,13,22
2020-11-12T19,7,3,0,17,27
2020-11-12T20,16,10,0,27,36
2020-11-12T21,3,3,0,7,17
2020-11-12T22,19,4,8,47,87
2020-11-12T23,36,0,5,52,50
2020-11-13T00,26,0,0,48,33
2020-11-13T01,10,0,0,41,0
2020-11-13T02,16,0,0,99,48
2020-11-13T03,27,0,0,28,27
2020-11-13T04,0,0,0,75,37
2020-11-13T05,0,0,0,34,100
2020-11-13T06,19,0,0,60,19
2020-11-13T07,17,18,0,27,26
2020-11-13T08,22,0,0,23,53
2020-11-13T09,9,0,3,12,17
2020-11-13T10,16,5,7,12,27
2020-11-13T11,11,5,0,16,16
2020-11-13T12,17,6,0,15,20
2020-11-13T13,13,0,0,14,22
2020-11-13T14,14,2,0,9,21
2020-11-13T15,11,0,2,13,17
2020-11-13T16,7,7,5,15,14
2020-11-13T17,3,0,0,18,12
2020-11-13T18,18,7,0,41,14
2020-11-13T19,15,8,0,20,19
2020-11-13T20,11,16,4,4,23
2020-11-13T21,8,4,0,8,12
2020-11-13T22,12,4,4,42,8
2020-11-13T23,24,0,5,10,10
2020-11-14T00,7,13,7,0,7
2020-11-14T01,0,0,0,39,10
2020-11-14T02,15,0,0,15,30
2020-11-14T03,46,0,0,0,0
2020-11-14T04,32,0,0,96,0
2020-11-14T05,0,0,0,36,0
2020-11-14T06,49,0,0,49,49
2020-11-14T07,29,28,0,0,14
2020-11-14T08,17,0,0,8,17
2020-11-14T09,23,0,6,12,46
2020-11-14T10,14,5,0,14,28
2020-11-14T11,21,13,0,17,30
2020-11-14T12,22,22,0,9,61
2020-11-14T13,44,18,0,18,27
2020-11-14T14,17,9,17,22,43
2020-11-14T15,8,15,23,15,53
